2008-09-12	18758464	Kugathasan S	2008-08-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18758464	Loci on 20q13 and 21q22 are associated with pediatric-onset inflammatory bowel disease.	Inflammatory bowel disease	1,011 European ancestry cases, 4,250 European ancestry controls	1,922 European ancestry cases, 14,124 European ancestry controls	1p31.3	1	67240275	IL23R	IL23R			149233			rs11209026-?	rs11209026	0	11209026	missense_variant	0	0.94	7E-11	10.154901959985743		2.56	[1.92-3.45]	Illumina [NR]	N
2017-02-10	27558924	Kim HS	2016-08-24	Gut	www.ncbi.nlm.nih.gov/pubmed/27558924	A coding variant in FTO confers susceptibility to thiopurine-induced leukopenia in East Asian patients with IBD.	Response to thiopurine in inflammatory bowel disease (leukopenia)	113 Korean ancestry cases, 154 Korean ancestry controls	245 East Asian ancestry cases, 522 East Asian ancestry controls	16q12.2	16	53826140	FTO	FTO			79068			rs79206939-A	rs79206939	0	79206939	missense_variant	0	0.015	1E-8	8.0		4.3	[2.50-7.40]	Affymetrix [505014]	N
2017-02-10	27558924	Kim HS	2016-08-24	Gut	www.ncbi.nlm.nih.gov/pubmed/27558924	A coding variant in FTO confers susceptibility to thiopurine-induced leukopenia in East Asian patients with IBD.	Response to thiopurine in inflammatory bowel disease (leukopenia)	113 Korean ancestry cases, 154 Korean ancestry controls	245 East Asian ancestry cases, 522 East Asian ancestry controls	13q14.2	13	48045719	NUDT15	NUDT15			55270			rs116855232-C	rs116855232	0	116855232	missense_variant	0	0.05	1E-22	22.0		3.9	[2.90-5.30]	Affymetrix [505014]	N
2008-06-16	17068223	Duerr RH	2006-10-26	Science	www.ncbi.nlm.nih.gov/pubmed/17068223	A genome-wide association study identifies IL23R as an inflammatory bowel disease gene.	Inflammatory bowel disease	547 European ancestry cases, 548 European ancestry controls	1,151 cases from 595 families, 433 controls	16q12.1	16	50722970	CARD15	NOD2			64127			rs2076756-?	rs2076756	0	2076756	intron_variant	0	NR	5E-10	9.301029995663981				Illumina [308332]	N
2008-09-12	18758464	Kugathasan S	2008-08-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18758464	Loci on 20q13 and 21q22 are associated with pediatric-onset inflammatory bowel disease.	Inflammatory bowel disease	1,011 European ancestry cases, 4,250 European ancestry controls	1,922 European ancestry cases, 14,124 European ancestry controls	20q13.33	20	63712604	TNFRSF6B	ZGPAT			84619			rs2315008-G	rs2315008	0	2315008	intron_variant	0	0.69	9E-15	14.045757490560675		1.36	[1.05-1.76]	Illumina [NR]	N
2008-09-12	18758464	Kugathasan S	2008-08-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18758464	Loci on 20q13 and 21q22 are associated with pediatric-onset inflammatory bowel disease.	Inflammatory bowel disease	1,011 European ancestry cases, 4,250 European ancestry controls	1,922 European ancestry cases, 14,124 European ancestry controls	21q22.2	21	39093608	PSMG1	LOC107985484 - RPL23AP12	107985484	391282		9075	33947	rs2836878-?	rs2836878	0	2836878	regulatory_region_variant	1	0.72	4E-12	11.397940008672037		1.41	[1.08-1.84]	Illumina [NR]	N
2008-09-12	18758464	Kugathasan S	2008-08-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18758464	Loci on 20q13 and 21q22 are associated with pediatric-onset inflammatory bowel disease.	Inflammatory bowel disease	1,011 European ancestry cases, 4,250 European ancestry controls	1,922 European ancestry cases, 14,124 European ancestry controls	16q12.1	16	50722863	NOD2	NOD2			64127			rs5743289-T	rs5743289	0	5743289	intron_variant	0	0.17	4E-10	9.397940008672037		1.46	[1.29-1.64]	Illumina [NR]	N
2008-09-12	18758464	Kugathasan S	2008-08-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18758464	Loci on 20q13 and 21q22 are associated with pediatric-onset inflammatory bowel disease.	Inflammatory bowel disease	1,011 European ancestry cases, 4,250 European ancestry controls	1,922 European ancestry cases, 14,124 European ancestry controls	6p21.32	6	32601914	HLA-DQA1	HLA-DRB1 - LOC107986589	3123	107986589		12078	35274	rs477515-?	rs477515	0	477515	intron_variant	1	0.69	1E-8	8.0		1.38	[1.23-1.54]	Illumina [NR]	N
2008-09-12	18758464	Kugathasan S	2008-08-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18758464	Loci on 20q13 and 21q22 are associated with pediatric-onset inflammatory bowel disease.	Inflammatory bowel disease	1,011 European ancestry cases, 4,250 European ancestry controls	1,922 European ancestry cases, 14,124 European ancestry controls	9q32	9	114806486	TNFSF15	TNFSF15 - LOC645266	9966	645266		358	39108	rs6478109-?	rs6478109	0	6478109	upstream_gene_variant	1	0.69	3E-8	7.522878745280337		1.36	[1.22-1.52]	Illumina [NR]	N
2009-12-10	19915574	Imielinski M	2009-11-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19915574	Common variants at five new loci associated with early-onset inflammatory bowel disease.	Inflammatory bowel disease (early onset)	2,413 European ancestry cases, 6,158 European ancestry controls	1,013 European ancestry cases, 5,805 European ancestry controls	19q13.11	19	33259408	intergenic	SLC7A10 - CEBPA	56301	1050		33558	40526	rs10500264-?	rs10500264	0	10500264	regulatory_region_variant	1	0.18	4E-10	9.397940008672037		1.21	[1.11-1.31]	Illumina [~ 500000]	N
