21738491	rs12143842	Sudden Cardiac Death	QT	-1.000000
20585627	rs12931267	Common Traits	Red hair	-1.000000
17903295	rs2543600	Age-Related Phenotypes|Longevity	Age at death	0.000004
20838585	rs726914	Cardiovascular Disease	systolic BP	0.000001
20526338	rs4311994	Platelet Aggregation	Epi 2 u M	0.000000
19430483	rs17367504	Blood Pressure	SBP	0.000000
20585627	rs11648785	Common Traits	Red hair	-1.000000
19197348	rs6462411	Complex Disease	Thyroid Stimulating Hormone	0.000001
25340798	rs2229238	Proteins Involved|Inflammation|Alzheimer's Disease	IL6R	0.000000
24586186	rs2147896	Metabolic Traits|Metabolite-Disease	Trimethylamine	0.000000
17903304	rs10501920	Cardiovascular Disease	atrial fibrillation	0.000009
23251661	rs17104363	Childhood Obesity|Childhood	Dinner intake, adjEER (kcal)	0.000000
19197348	rs7036589	Complex Disease	Thyroid Stimulating Hormone	0.000007
24386095	rs10045497	Lipid Levels	LDL	0.000000
20838585	rs7210277	Cardiovascular Disease	waist circumference	0.000001
19609347	rs9590141	Hypertension|Blood Pressure	DBP	0.000001
20395239	rs2241970	Optic Disc Size	Disc	0.000000
23408906	rs7825175	Thyroid|Thyroid-Related Traits|Differences	TSH	-1.000000
24324551	rs115744676	Chagas Cardiomyopathy|Trypanosoma Cruzi Seropositive	PR	0.000000
24386095	rs599839	Lipid Levels	LDL	0.000000
20838585	rs1552257	Cardiovascular Disease	insulin	0.000001
17903296	rs10515148	Association Bone	neck section modulus**	0.000001
20585627	rs12203592	Common Traits	Freckling	-1.000000
21386085	rs173539	Metabolic Syndrome	MetS	0.000000
22291609	rs3026968	Inflammation	MCP-1	0.000000
24347629	rs11713199	Periodontal	PD2	0.000007
17903301	rs6847149	Exercise Responses|Artery	Stage 2 Exercise heart rate	0.000003
17903295	rs4471448	Age-Related Phenotypes|Longevity	Walking speed exam 7	0.000004
25340798	rs11575821	Proteins Involved|Inflammation|Alzheimer's Disease	CCL4	0.000000
17903298	rs10486607	Diabetes-Related Traits	hemoglobin a1c	0.000008
21386085	rs2075290	Metabolic Syndrome	HDLC-TG	0.000000
24376456	rs12292796	Blood Pressure	PP	0.000000
24324551	rs73276602	Chagas Cardiomyopathy|Trypanosoma Cruzi Seropositive	PR	0.000000
17903302	rs10491334	Arterial Stiffness|Blood Pressure	blood-pressure	0.000004
20395239	rs6480314	Optic Disc Size	Disc	0.000000
17903307	rs310558	Pulmonary Function	percent predicted fev	0.000005
21738480	rs2524079	Cell Phenotypes|White Blood Cell	Lymphocytes	0.000000
17903293	rs583012	Biomarker Traits	C-reactive protein exam 2	0.000002
22558069	rs11552708	Immunoglobulin Isotypes|Non-Albumin Protein	NAP	0.000000
24324551	rs78852656	Chagas Cardiomyopathy|Trypanosoma Cruzi Seropositive	PR	0.000000
22558069	rs4985726	Immunoglobulin Isotypes|Non-Albumin Protein	NAP	0.000000
21931564	rs174547	Metabolite Quantitative Trait	PC aa C36:3/PC aa C36:4	-1.000000
24386095	rs1160985	Lipid Levels	LDL	0.000000
17903297	rs9303401	Brain|Cognitive Test	boston naming test	0.000005
24945404	rs4420311	Bone Mineral Density|Bone	TBLH-BMD	0.000000
20927387	rs17064262	Cell Traits|Red Blood Cell	MCV	0.000000
23966867	rs214679	Body Fat Distribution	WHR_pooled	0.000001
17903295	rs2371208	Age-Related Phenotypes|Longevity	Age at death	0.000003
20838585	rs8131349	Cardiovascular Disease	total cholesterol	0.000000
20548944	rs2278729	Osteoporosis-Related Traits|Gene Expression Profiling	NSA	0.000000
20585627	rs7349332	Common Traits	Hair curl	-1.000000
19430483	rs1530440	Blood Pressure	DBP	0.000003
17903297	rs7124781	Brain|Cognitive Test	ALLV	0.000000
24376456	rs2837253	Blood Pressure	SBP	0.000001
20585627	rs4778220	Common Traits	Eye color	-1.000000
17903301	rs4920799	Exercise Responses|Artery	left ventricular diastolic dimension	0.000007
17903302	rs935334	Arterial Stiffness|Blood Pressure	blood-pressure	0.000003
20838585	rs781718	Cardiovascular Disease	glucose	0.000001
21203500	rs7159888	Master|Plasma Protein	DG1	0.000000
21386085	rs2206277	Metabolic Syndrome	WC-GLUC	0.000000
19430483	rs1378942	Blood Pressure	DBP	0.000000
22832964	rs1678618	Smoking Behaviors	AOI	0.000001
20927387	rs1800562	Cell Traits|Red Blood Cell	MCV	0.000001
20585627	rs12203592	Common Traits	Eye color	-1.000000
20838585	rs12280753	Cardiovascular Disease	triglycerides	0.000000
21931564	rs7094971	Metabolite Quantitative Trait	C0	-1.000000
20195266	rs7108821	Antipsychotic Drugs|Metabolic Side Effects	Risperidone - Hip Circumference	0.000000
20838585	rs5979903	Cardiovascular Disease	glucose	0.000000
17903293	rs2808629	Biomarker Traits	C-reactive protein exam 6	0.000000
20585627	rs10960751	Common Traits	Eye color	-1.000000
